Ref_Interne; Materiel; NumeroSerie; Type; Marque; Quantite; DataAchat; PrixAchat; DateSortie; QuantiteSortie; NatureSortie; QuantiteRestante; DureeUtilisationPrevisionelle; FequenceUtilisation; LieuStockage; nom; 
BRICO_O_264; Tuyau d'arrosage 15m; ; ; ; 1; 0000-00-00; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; TUYAUARROSAGE1; 
BRICO_O_265; Tuyau d'arrosage 15 m plat; ; ; ; 1; 2013-04-30; 27.78; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; TUYAUARROSAGE2; 
BRICO_O_267; Pulverisateur a dos manuel Stihl SG20; 979859638; SG20; STIHL; 1; 0001-01-01; 200; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PULVERISATEUR02; 
BRICO_O_268; Camera endoscopique 1 metre AGM TEC avec camera de 16, 9 et 5.5mm plus des accessoires (mirroirs, crochets, aimant); ; ; ; 1; 0001-01-01; 900; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; CAMENDOS2; 
BRICO_O_269; Fer ?á souder WELLER WSD 81. Unit?® d'alimentation 1 canal 80 W, 230 V, Fer ?á souder WSP 80 (80 W, 24 V) avec technologie d'?®l?®ment chauffant "Silver Line", Panne standard LT B et support de s?®curit?® avec ?®ponge de nettoyage WPH 80; ; ; ; 1; 2013-08-29; 340.7; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; FERSOUDE1; 
BRICO_O_270; Fraiseuse-Mortaiseuse Festool Domino XL DF700 EQ avec 4 fraises diametre 8, 10, 12 et 14 mm; ; ; ; 1; 2013-10-03; 1385; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; MORTAISEUSE1; 
BRICO_O_271; Ponceuse orbitale delta - Hitachi SV 12 SH; JN70059; SV12SH; HITACHI; 1; 0001-01-01; 100; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PONCEU007; 
BRICO_O_272; Ponceuse a bande metabo BAE 75 + socle poncage vertical; ; ; ; 1; 2013-11-16; 249.96; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PONCEU008; 
BRICO_O_275; Nettoyeur HP NILFISK Poseidon 4; 301002910; Poseidon 4-30XT; NILFISK; 1; 0001-01-01; 0; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; NETTHP005; 
BRICO_O_276; Testeur d'installation ?®lectrique FLUKE 1654B. Mesure de la tension, de la fr?®quence, de la r?®sistance d'isolement, de la continuit?®, de lÔÇÖimp?®dance de ligne/boucle, de la r?®sistance ?á la terre, du temps et du courant de d?®clenchement des disjoncteurs diff?®rentiels, de l'ordre des phases.; ; ; ; 1; 0001-01-01; 1966; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; TESTEUR_INSTALL_ELECTRIQUE01; 
